X,Y,id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE,tot_mesi
-122.1142,38.0131,USC00045378,92.16,84.45,94.11,30.23,8.09,1.82,0.17,2.41,11.92,27.79,87.29,66.44,38.0131,-122.1142,12.2,CA,506.88
-121.5853,39.1458,USC00045385,90.69,70.87,101.83,36.6,13.66,3.26,0.05,2,17.12,35.38,94.58,97.63,39.1458,-121.5853,17.4,CA,563.67
-122.1383,41.2514,USC00045449,189.24,169.59,225.63,71.41,65.42,19.44,7.92,7.57,40.5,86.04,194.51,181.57,41.2514,-122.1383,999.7,CA,1258.84
-116.0767,33.5714,USC00045502,8.37,10.79,9.16,0.84,0.84,0,0.48,12.86,4.43,7.01,12.26,12.65,33.5714,-116.0767,-54.9,CA,79.69
-120.5117,37.2858,USC00045532,48.65,51.38,65.09,20.8,7.25,0.6,0,0.72,9.26,18.82,49.07,38.9,37.2858,-120.5117,46.6,CA,310.54
-121.6092,40.3458,USC00045679,190.3,211.5,256.53,89.33,71.98,31.44,2.63,8,63.32,112.49,255.01,201.95,40.3458,-121.6092,1485.9,CA,1494.48
-115.5469,34.9436,USC00045721,28.21,17.39,40.89,16.92,6.72,4.19,41.69,60.85,34.37,22.88,18.18,37.22,34.9436,-115.5469,1325.9,CA,329.51
-118.1619,35.0492,USC00045756,24.72,19.24,30.09,5.91,1.79,1.4,8.87,8.5,5.85,10.54,18.27,20.41,35.0492,-118.1619,833.6,CA,155.59
-118.1053,34.0192,USC00045790,55.54,59.48,69.05,26.93,4.51,0.33,0.15,2.3,9.74,7.82,39.43,43.77,34.0192,-118.1053,75,CA,319.05
-121.91,36.5903,USC00045795,88.62,69.35,100.41,37.55,11.33,3.98,0.92,1.36,12.6,30.01,84.42,57.41,36.5903,-121.91,117.3,CA,497.96
-121.8556,36.5928,USC00045802,86.5,80.69,86.96,30.85,8.14,2.22,0.44,2.46,13.71,29.88,67.97,43.25,36.5928,-121.8556,37.2,CA,453.07
-120.8456,35.3672,USC00045866,65.11,67.69,81.42,31.2,5.11,1.4,0.36,2.07,12.7,21.51,43.5,51.89,35.3672,-120.8456,35.1,CA,383.96
-121.9303,37.8792,USC00045915,94.84,99.25,107.02,32.56,13.9,4.57,0.23,1.3,17.13,36.01,99.34,76.41,37.8792,-121.9303,661.4,CA,582.56
-121.6425,37.3436,USC00045933,85.08,92.19,109.04,44.49,17.81,4.59,0.25,0.41,20.39,32.71,108.31,70.23,37.3436,-121.6425,1282,CA,585.5
-118.0711,34.2308,USC00046006,143.74,145.66,199.08,79.01,11.9,2.34,0.58,12.86,40.23,49.13,138.24,141.85,34.2308,-118.0711,1740.4,CA,964.62
-122.2647,38.2778,USC00046074,115.33,119.64,123.43,33.92,14.46,2.06,0.1,2.72,19.5,34.18,111.06,92.99,38.2778,-122.2647,10.7,CA,669.39
-121.0008,39.2467,USC00046136,209.85,239.53,295.26,102.36,45.54,11.94,0.49,5.95,47.22,80.26,256.95,213.97,39.2467,-121.0008,847.6,CA,1509.32
-122.0325,37.5147,USC00046144,60.42,56.78,67.26,23.25,8.87,0.75,0.08,0.45,8.84,26.68,58.14,49.19,37.5147,-122.0325,3,CA,360.71
-119.6828,34.9456,USC00046154,28.96,22.76,36.25,14.99,3.34,0.23,0.28,5.23,29.17,10.14,22.76,25.23,34.9456,-119.6828,658.4,CA,199.34
-118.5939,34.3933,USC00046161,67.81,58.11,65.12,34.73,5.93,0,0.13,0,12.2,11.32,69.6,47.8,34.3933,-118.5939,538,CA,372.75
-121.0178,37.2811,USC00046168,54.34,35.77,44.88,14.54,6.48,1.45,0,0.25,14.54,13.57,43.01,31.77,37.2811,-121.0178,27.4,CA,260.6
-120.4864,38.0047,USC00046174,123.12,93.93,131.27,62.92,25.14,3.55,0.12,0.2,21.7,35.82,117.98,86.1,38.0047,-120.4864,292.6,CA,701.85
-117.8803,33.6025,USC00046175,34.59,41.94,46.28,24.92,3.6,0.44,0.43,1.55,8.98,8.83,38.77,36.19,33.6025,-117.8803,3,CA,246.52
-118.525,34.2447,USC00046263,51.72,46.14,64.73,27.26,3.92,0.62,0,9.24,21.47,16.18,35.72,42.13,34.2447,-118.525,289,CA,319.13
-122.2642,37.7983,USC00046336,110.73,90.75,108.33,37.11,12.11,2.44,0.08,0.59,14.01,37.57,91.91,73.75,37.7983,-122.2642,9.1,CA,579.38
-122.9661,38.3858,USC00046370,240.04,214.11,243.06,64.33,41.78,5.29,0,6.68,26.19,76.14,260.4,223.44,38.3858,-122.9661,263.7,CA,1401.46
-117.395,33.2097,USC00046377,35.7,35.66,43.34,31.2,5.28,2.52,0.11,1.64,8.4,13.29,34.19,44.82,33.2097,-117.395,3,CA,256.15
-119.2275,34.4478,USC00046399,74.05,79.8,87.91,34.91,4.27,0.54,0.48,3.79,9.35,18.64,56.89,60,34.4478,-119.2275,227.1,CA,430.63
-124.0192,41.3619,USC00046498,220.55,252.24,261.6,111.48,84.72,51.42,11.14,14.42,30.88,111.72,262.64,306.92,41.3619,-124.0192,48.8,CA,1719.73
-122.1997,39.7458,USC00046506,91.43,61.03,103.28,28.69,14.52,6.76,0.15,2.31,21.09,34.61,94.7,75.36,39.7458,-122.1997,77.4,CA,533.93
-123.5317,41.3089,USC00046508,178.24,209.93,185.62,67.35,65.5,21.75,5.06,17.44,37.81,98.49,254.41,240.69,41.3089,-123.5317,122.8,CA,1382.29
-121.5531,39.5178,USC00046521,117.79,98.46,138.88,53.23,12.64,4.52,0.1,3.2,31.34,49.95,140.99,117.43,39.5178,-121.5531,52.1,CA,768.53
