STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00250445;141S;183S;275S;382S;502S;598S;644S;624S;522S;396S;274S;166S;14.1;18.3;27.5;38.2;50.2;59.8;64.4;62.4;52.2;39.6;27.4;16.6
USC00250525;78R;113R;200R;299R;408R;512R;574R;555R;453R;329R;209R;95R;7.8;11.3;20;29.9;40.8;51.2;57.4;55.5;45.3;32.9;20.9;9.5
USC00250622;136R;174R;275R;380R;500R;605R;653R;631R;528R;403R;278S;166S;13.6;17.4;27.5;38;50;60.5;65.3;63.1;52.8;40.3;27.8;16.6
USC00250640;120C;155C;249C;356C;479C;580C;636C;611C;505C;363C;237C;128C;12;15.5;24.9;35.6;47.9;58;63.6;61.1;50.5;36.3;23.7;12.8
USC00250760;140S;176S;255S;345S;464S;565S;624S;603S;494S;358S;241S;148S;14;17.6;25.5;34.5;46.4;56.5;62.4;60.3;49.4;35.8;24.1;14.8
USC00250865;139S;169S;249S;340S;451S;552S;610S;591S;480S;346S;234S;135S;13.9;16.9;24.9;34;45.1;55.2;61;59.1;48;34.6;23.4;13.5
USC00250930;130R;167R;267R;375R;494R;600R;643R;622R;527R;405R;276R;164R;13;16.7;26.7;37.5;49.4;60;64.3;62.2;52.7;40.5;27.6;16.4
USC00251130;98R;133R;221R;326R;438R;536R;596R;575R;461R;334R;206R;114R;9.8;13.3;22.1;32.6;43.8;53.6;59.6;57.5;46.1;33.4;20.6;11.4
USC00251145;158S;188S;260S;334S;442S;532S;595R;577R;476R;345R;239S;149S;15.8;18.8;26;33.4;44.2;53.2;59.5;57.7;47.6;34.5;23.9;14.9
USC00251149;147Q;167Q;239Q;321Q;426Q;520Q;586Q;563Q;452Q;327Q;218Q;130Q;14.7;16.7;23.9;32.1;42.6;52;58.6;56.3;45.2;32.7;21.8;13
